Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eastern Europe,Azerbaijan,xxx,296.0,311.3,157.3,130.1,114.5,131.6,150.0,195.8,207.7,234.9,252.9,315.4,382.3,447.4,919.2,1436.1,1932.5,1707.1,1616.4,3075.5,3190.6,3227.4,3239.2,3442.4,2296.1,1675.9,1763.2,1905.4,2237.8,2589.2
Eastern Europe,Belarus,xxx,229.8,326.5,327.9,129.4,99.3,162.5,152.1,152.2,168.6,210.0,218.3,220.7,267.1,347.6,451.4,492.6,504.8,446.9,502.8,539.9,606.7,649.3,659.4,642.3,604.6,580.7,660.6,699.9,707.4,726.6
Eastern Europe,Georgia,xxx,...,...,...,...,97.5,60.8,58.7,45.2,30.8,39.1,55.9,68.0,95.0,252.3,428.6,848.6,805.5,491.3,368.2,331.3,343.7,312.6,302.8,269.7,289.8,294.1,302.0,297.9,287.9,287.8
Eastern Europe,Moldova,xxx,...,36.5,32.2,40.6,38.8,39.5,26.0,20.6,15.8,17.4,20.4,22.2,19.8,23.1,29.3,33.3,41.0,29.7,22.6,25.0,25.6,28.5,31.2,31.9,37.8,37.0,39.5,44.8,44.5,51.4
Eastern Europe,Russia,xxx,43606.3,38119.6,36036.0,23710.3,22388.0,24476.2,14555.8,16164.5,21809.6,23569.7,26110.3,27377.7,28615.5,32519.0,35993.6,39179.0,43049.0,45166.5,46084.7,49183.3,56986.3,59763.5,64049.9,69032.9,74006.2,59968.8,57709.3,60296.0,61712.5,63485.1
Eastern Europe,Ukraine,xxx,...,295.9,1194.9,1285.1,1146.7,1445.1,1082.0,1012.1,1166.4,1095.7,1268.3,1528.8,1673.6,2225.2,2496.3,3034.2,2968.4,2121.3,2202.8,1981.2,2239.3,2292.0,3148.7,3842.5,3926.4,3924.1,4668.4,5332.5,5924.2,5422.7
Eastern Europe,USSR,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Western Europe,Austria,3399.6,3300.8,3332.5,3347.2,3317.8,3286.7,3294.1,3303.1,3370.6,3451.9,3216.4,3159.9,3290.8,3296.6,3225.8,3098.4,3684.7,3570.9,3334.4,3315.2,3239.9,3197.1,3073.0,3098.1,2962.3,3188.0,3347.4,3367.9,3342.0,3601.6,3598.9
Western Europe,Belgium,7676.5,6303.3,5985.6,5952.9,5831.3,5720.4,5648.5,5646.9,5720.5,5720.1,5468.6,5302.7,5360.3,5248.6,5057.5,5018.2,5414.9,5903.3,5560.1,5325.3,5138.5,5081.2,4951.6,4871.3,4690.6,4671.4,4674.4,4776.5,4883.4,5442.8,5943.1
Western Europe,Cyprus,688.8,942.8,423.6,445.4,399.4,599.4,760.1,678.5,419.6,447.9,528.8,361.5,349.9,363.5,395.0,388.6,368.4,369.6,403.5,418.7,387.9,354.2,319.5,301.3,337.4,309.2,366.8,433.3,469.0,483.4,490.5
