Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Slovakia,xxx,xxx,266.8990366,299.9934191,629.6226826,641.5598711,499.5295067,397.5922157,327.1691709,342.3227689,393.9965983,440.059286,624.5084546,711.290428,823.3134554,911.3706268,1139.194488,1411.710285,1350.294439,1137.680536,1064.842811,1020.180035,967.9231079,997.7038218,985.915493,1003.048084,1049.074347,1295.988102,1802.507837,2047.190243,1983.20719
Central Europe,Slovenia,...,281.4227385,230.3036716,237.9495041,334.6550229,329.9726483,290.7852718,301.1398222,274.8418278,222.3915568,271.4887904,326.9595228,416.9067537,493.1538929,514.1727995,608.8337534,692.6549126,829.3844069,798.8686422,772.0851075,665.6796714,543.4964165,506.7429321,486.1948704,400.7718753,449.1775391,473.7967572,529.4961227,572.8840125,567.6507466,734.3897824
Central Europe,Yugoslavia,...,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Eastern Europe,Armenia,xxx,0,9.829763866,...,52.22858382,52.41026855,64.06212119,66.75757306,68.23414857,68.05214207,66.24762646,64.10640565,76.58799889,98.0704882,140.7381027,188.1891164,280.1086883,395.9943654,359.4993435,395.0115078,390.8714339,380.5716789,444.5518595,457.8070218,447.3798075,431.3962186,443.6104133,513.2520265,652.0001748,633.9604001,619.4354717
Eastern Europe,Azerbaijan,xxx,11.0701107,77.51937984,43.94274706,66.15996891,71.60684124,92.08669197,107.2628586,120.262174,119.5756517,131.9636601,139.8940919,176.5521623,228.2496316,304.5214777,717.1118536,946.5997921,1607.799226,1472.909977,1476.608734,3080.084996,3246.122613,3367.574161,3427.179917,2900.551382,1396.969108,1528.859592,1672.176471,1854.235294,2237.764706,2703.176471
Eastern Europe,Belarus,xxx,0,0,0,179.0816769,182.8056146,249.3841394,227.5860873,165.9038489,140.3262047,177.6978417,204.3642374,231.5638604,314.3140178,452.6840683,631.8312381,746.943264,883.0275229,675.4265051,767.6992859,756.2773513,807.4232628,959.8016903,1000.013449,709.9088461,592.1823314,625.6378169,709.7133164,773.7130287,707.4180328,762.7762241
Eastern Europe,Georgia,xxx,...,...,...,...,67.70668356,44.00770713,41.08445698,25.88267836,18.82429143,23.82996787,33.97580704,42.64740288,70.41974278,214.0714301,404.1720259,931.7505642,1090.160251,603.6552149,454.1782152,468.7796268,491.9825294,441.878927,415.6432109,299.5141763,315.1944463,321.1366446,333.9123818,310.6141285,287.8640777,302.1441889
Eastern Europe,Moldova,xxx,...,0,0,13.3457894,15.35461116,17.41075098,10.61314168,5.990984994,5.09079796,5.961865823,6.978372204,8.246742537,9.378005953,11.96037969,16.44949776,22.71847379,36.8456505,24.90638727,18.33571827,22.96696369,23.87007282,26.71052213,27.56555984,23.05181459,27.43100608,30.92616054,37.40468953,43.00932857,44.53378066,52.29326318
Eastern Europe,Russia,xxx,0,7766.720078,13547.87173,12741.62947,15826.34065,17577.35318,7955.730401,6469.035211,9228.204144,11683.15134,13943.82506,16973.73909,20955.41357,27336.97727,34517.78162,43534.995,56183.78539,51532.1168,58720.22761,70237.52395,81469.39993,88352.89646,84696.50465,66421.82218,69245.29455,66913.03354,61609.20476,65201.33585,61712.53717,65907.70505
Eastern Europe,Ukraine,xxx,...,123.4109211,683.5860452,779.256926,1009.58201,1449.673947,912.2120888,620.8055316,696.40438,741.7128306,872.3918733,1104.808267,1322.215078,2072.348602,2572.869213,3528.766629,4144.743447,2320.408613,2587.448221,2502.296575,2835.905353,2895.001889,2997.189214,2959.581345,2943.807592,3246.786567,4169.707536,5419.138048,5924.20088,5942.781068
